MINN.HUB
Day Ahead, Real Time, NN Output

Day1
30.94, 24.88, 28.5192233487
38.42, 32.8, 34.3647148618
41.2, 32.71, 31.3314149374
33.48, 26.22, 31.4197223334
29.38, 24.52, 32.9867065135
28.55, 24.05, 31.7081571513

Day6
25.95, 20.32, 23.8946997878
25.62, 20.83, 25.6565856603
25.18, 20.79, 30.7632201346
24.78, 19.05, 30.3153428888
25.03, 23.51, 31.2171814497
24.92, 28.35, 28.7821727752
26.9, 27.9, 66.8487061968
29.87, 31.77, 40.2963364599
32.82, 34.25, 30.0083556969
37.73, 27.9, 55.1284800701
36.07, 26.68, 38.3137254058
34.16, 28.05, 41.592316457
31.18, 25.66, 34.7819492111
29.69, 26.57, 52.8584433735
28.37, 29.5, 34.5421827608
27.54, 26.71, 39.3677874662
28.92, 29.27, 35.8957498481
29.97, 25.67, 31.838613824
30.5, 26.75, 28.8485568184
37.32, 26.38, 34.5401583715
47.15, 26.04, 30.9742086871
37.08, 26.32, 31.7875599585
27.97, 24.68, 33.1009819445
25.92, 25.21, 31.8169053592

Day7
26.83, 19.16, 24.0350201808
25.08, 19.78, 25.5800649521
25.84, 19.11, 30.5698326264
27.17, 20.69, 30.4035117149
31.12, 28.74, 31.2357429351
39.87, 26.49, 28.8770041954
44.64, 38.47, 66.8231862416
44.75, 26.61, 40.4383973381
43.03, 26.07, 30.0746447973
45.91, 26.6, 55.1689573068
43.75, 25.9, 38.3263433696
44.01, 26.62, 41.6497745688
41.84, 25.3, 34.772650719
41.28, 26.64, 52.7494827649
40.99, 25.71, 34.5828744042
41.23, 29.88, 39.5343124717
39.17, 27.37, 35.9128938831
39.93, 29.44, 31.8845551115
38.35, 30.17, 28.7139894301
40.9, 40.01, 34.4678582013
41.57, 29.05, 31.1010982094
34.26, 31.81, 31.6452556612
33.05, 24.07, 33.0584787114
32.17, 22.77, 31.7775745652

Day8
29.28, 17.85, 23.2392374578
27.54, 19.44, 25.9109756972
27.71, 19.62, 31.6663453036
28.51, 18.91, 29.8922178319
32.48, 21.53, 31.1488414191
34.11, 28.26, 28.3459689367
38.79, 26.71, 66.869575402
