MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
33.44, 23.16, 37.2843, -10.28
30.71, 23.12, 39.494, -7.59
29.65, 22.45, 36.9216, -7.2
28.57, 19.14, 37.8053, -9.43
28.84, 21.83, 32.409, -7.01
29.76, 21.32, 32.381, -8.44
29.3, 22.65, 29.9702, -6.65
34.32, 30.46, 45.6817, -3.86
38.81, 31.1, 37.0801, 7.71
32.3, 25.08, 31.9215, 7.22
27.54, 23.35, 28.1886, -4.19
25.63, 22.73, 28.0982, -2.9

Day6
24.38, 18.26, 26.3051, -6.12
24.08, 19.88, 25.0551, -4.2
23.84, 19.8, 24.5736, -4.04
23.39, 18.1, 27.5599, -5.29
22.63, 21.67, 25.7851, -0.96
22.1, 26.27, 28.9735, 4.17
24.55, 26.38, 45.6175, 1.83
28.07, 30.31, 38.2073, 2.24
30.74, 31.57, 34.8363, 0.83
34.95, 26.54, 51.1041, -8.41
33.47, 25.38, 39.6396, -8.09
32.1, 26.62, 40.6049, -5.48
29.6, 24.37, 37.2843, -5.23
28.24, 25.26, 39.494, -2.98
27.25, 28.04, 36.9216, 0.79
26.71, 25.35, 37.8053, -1.36
28.05, 27.61, 32.409, -0.44
29.28, 24.15, 32.381, -5.13
29.8, 25.17, 29.9702, -4.63
36.21, 24.94, 45.6817, -11.27
45.18, 24.85, 37.0801, 20.33
34.75, 24.71, 31.9215, 10.04
26.83, 24.93, 28.1886, -1.9
24.83, 11.41, 28.0982, -13.42

Day7
20.91, 18.96, 26.3051, -1.95
20.08, 24.4, 25.0551, 4.32
20.61, 13.06, 24.5736, -7.55
22.16, 16.36, 27.5599, -5.8
23.69, 12.57, 25.7851, -11.12
27.24, 25.62, 28.9735, -1.62
38.03, 33.72, 45.6175, -4.31
41.28, 31.37, 38.2073, 9.91
37.96, 32.4, 34.8363, 5.56
40.39, 26.41, 51.1041, -13.98
38.64, 23.82, 39.6396, -14.82
38.83, 25.61, 40.6049, -13.22
37.01, 24.36, 37.2843, -12.65
36.5, 25.71, 39.494, -10.79
36.12, 24.91, 36.9216, -11.21
34.42, 29.07, 37.8053, -5.35
33.73, 26.63, 32.409, 7.1
34.57, 32.75, 32.381, 1.82
32.96, 29.18, 29.9702, 3.78
36.55, 48.52, 45.6817, 11.97
37.43, 34.62, 37.0801, 2.81
